amount,payment_method,failure_reason,customer_age,total_purchases,total_spend,avg_order_value,purchase_frequency,subscription_status,ltv,total_interactions,open_rate,click_rate,response_rate,fatigue_score,customer_tenure_days,recovered
515.67,net_banking,expired_card,37.0,13,10048.35,772.95,3.48,active,20212.22,1.0,1.0,0.0,0.0,35.0,1364,0
2224.75,credit_card,temporary_bank_issue,35.0,21,26494.65,1261.65,4.28,active,35499.16,1.0,1.0,1.0,1.0,5.0,1792,1
672.02,upi,insufficient_funds,36.0,18,29676.06,1648.67,3.52,none,38844.91,0.0,0.0,0.0,0.0,30.0,1866,1
1295.73,credit_card,authentication_failed,31.0,14,20617.94,1472.71,3.99,none,34003.97,2.0,0.5,0.0,0.0,40.0,1281,1
1243.07,upi,bank_decline,41.0,18,30976.2,1720.9,19.39,active,143191.07,0.0,0.0,0.0,0.0,30.0,339,1
1966.99,wallet,expired_card,37.0,11,9395.43,854.13,1.96,inactive,15399.43,0.0,0.0,0.0,0.0,30.0,2049,0
522.96,net_banking,bank_decline,38.0,26,17844.06,686.31,8.29,active,34053.18,2.0,0.0,0.0,0.0,40.0,1146,0
1554.61,upi,insufficient_funds,23.0,12,31048.56,2587.38,2.7,none,43101.53,0.0,0.0,0.0,0.0,30.0,1621,0
7807.39,credit_card,temporary_bank_issue,32.0,19,121745.54,6407.66,5.0,none,171286.39,0.0,0.0,0.0,0.0,30.0,1389,1
4307.95,debit_card,temporary_bank_issue,27.0,26,103053.6,3963.6,38.29,active,843557.53,0.0,0.0,0.0,0.0,30.0,248,1
2436.91,upi,customer_abandoned,30.0,13,37830.0,2910.0,2.87,inactive,54062.0,1.0,1.0,0.0,0.0,35.0,1656,1
691.49,upi,expired_card,20.0,18,14187.6,788.2,40.09,none,116820.17,2.0,0.5,0.0,0.0,40.0,164,0
2163.15,upi,insufficient_funds,41.0,15,31432.35,2095.49,23.51,inactive,163982.81,2.0,1.0,1.0,1.0,10.0,233,0
3267.63,net_banking,insufficient_funds,34.0,17,51854.76,3050.28,3.48,inactive,90573.7,0.0,0.0,0.0,0.0,30.0,1783,1
2070.27,upi,expired_card,25.0,23,79145.76,3441.12,52.5,active,899323.5,1.0,0.0,0.0,0.0,35.0,160,0
1802.96,upi,customer_abandoned,40.0,22,33430.98,1519.59,9.35,inactive,86235.89,0.0,0.0,0.0,0.0,30.0,859,1
1463.6,wallet,customer_abandoned,32.0,17,29617.06,1742.18,3.16,none,36653.93,4.0,0.5,0.0,0.0,50.0,1962,1
949.5,upi,bank_decline,29.0,13,27329.12,2102.24,17.2,none,87496.8,1.0,1.0,0.0,0.0,35.0,276,0
970.12,upi,insufficient_funds,46.0,27,47628.81,1764.03,71.46,inactive,562837.8,1.0,0.0,0.0,0.0,35.0,138,1
544.53,credit_card,customer_abandoned,38.0,20,22259.4,1112.97,3.84,none,31032.83,1.0,0.0,0.0,0.0,35.0,1903,1
1311.25,credit_card,customer_abandoned,31.0,23,40590.63,1764.81,6.99,active,111247.08,1.0,1.0,1.0,0.0,35.0,1201,1
1025.51,credit_card,temporary_bank_issue,18.0,20,19057.8,952.89,19.74,active,94789.8,2.0,0.5,0.0,0.0,40.0,370,1
1323.96,upi,bank_decline,20.0,14,22322.16,1594.44,17.57,none,96375.05,0.0,0.0,0.0,0.0,30.0,291,1
6845.11,upi,bank_decline,31.0,15,44357.25,2957.15,2.84,none,82598.89,1.0,1.0,0.0,0.0,35.0,1928,1
6315.72,debit_card,network_error,35.0,27,83965.14,3109.82,32.76,inactive,312933.58,1.0,1.0,0.0,0.0,35.0,301,1
1902.48,debit_card,network_error,32.0,17,15409.31,906.43,3.55,active,22484.14,0.0,0.0,0.0,0.0,30.0,1748,1
