transaction_id,customer_id,amount,payment_method,failure_reason,timestamp,status
1,1756,1047.09,upi,customer_abandoned,2026-07-23 12:44:16,failed
2,29183,4826.79,debit_card,network_error,2026-07-16 18:04:13,failed
3,15437,294.32,debit_card,customer_abandoned,2026-02-02 00:13:41,failed
4,16645,1148.28,upi,customer_abandoned,2026-05-24 11:14:36,failed
5,11795,1841.93,upi,customer_abandoned,2026-01-02 23:38:07,failed
6,42359,5961.71,upi,customer_abandoned,2026-04-22 22:20:31,failed
7,87572,795.22,credit_card,none,2026-02-12 01:28:22,success
8,68869,1880.55,credit_card,none,2026-08-06 21:44:31,success
9,55944,3738.46,credit_card,insufficient_funds,2026-06-07 05:35:26,failed
10,16070,477.64,upi,insufficient_funds,2026-02-28 04:37:01,failed
11,80781,2338.9,debit_card,network_error,2026-07-20 13:24:36,failed
12,79181,4282.03,credit_card,none,2026-04-15 00:16:33,success
13,13172,2568.05,wallet,network_error,2026-08-11 06:11:40,failed
14,11911,1599.82,wallet,network_error,2026-07-17 18:31:38,failed
15,3792,1313.79,upi,none,2026-07-05 11:14:57,success
16,48545,1103.34,debit_card,temporary_bank_issue,2026-03-27 15:20:05,failed
17,71656,948.76,upi,temporary_bank_issue,2026-04-03 11:13:43,failed
18,42632,3108.86,upi,none,2026-08-19 17:31:55,success
19,92056,1786.86,upi,none,2026-03-14 07:01:29,success
20,84025,2859.77,debit_card,bank_decline,2026-02-20 06:33:43,failed
21,99949,6072.59,wallet,none,2026-02-20 12:28:03,success
22,94077,3331.0,debit_card,bank_decline,2026-01-26 09:28:44,failed
23,96434,1538.99,upi,bank_decline,2026-02-15 02:02:16,failed
24,57292,3178.32,debit_card,insufficient_funds,2026-07-25 18:45:48,failed
25,6049,4661.1,upi,insufficient_funds,2026-03-22 08:09:35,failed
26,11407,1985.99,upi,expired_card,2026-01-20 00:45:13,failed
27,78064,3924.15,debit_card,network_error,2026-02-05 19:03:22,failed
28,68730,2238.7,upi,customer_abandoned,2026-04-06 06:41:20,failed
29,92709,821.85,credit_card,none,2026-06-28 21:27:01,success
30,60335,1876.86,upi,bank_decline,2026-02-05 22:58:41,failed
31,97489,2587.41,credit_card,customer_abandoned,2026-01-01 14:48:23,failed
32,33998,3363.79,upi,network_error,2026-02-18 13:20:47,failed
33,84799,1536.67,upi,none,2026-07-18 01:58:41,success
34,12924,7267.11,credit_card,none,2026-08-17 08:17:19,success
35,96075,596.86,credit_card,customer_abandoned,2026-07-17 05:36:43,failed
36,66875,8038.86,upi,expired_card,2026-08-02 18:33:56,failed
37,45076,7434.27,upi,temporary_bank_issue,2026-01-14 18:29:31,failed
38,77918,3373.35,net_banking,insufficient_funds,2026-06-09 20:05:26,failed
39,3098,909.84,upi,temporary_bank_issue,2026-07-19 04:15:42,failed
40,94664,3981.03,debit_card,none,2026-02-26 17:54:18,success
41,56974,1565.6,net_banking,temporary_bank_issue,2026-05-03 12:59:54,failed
42,1735,1911.3,credit_card,none,2026-06-08 05:03:57,success
43,54900,2851.96,upi,authentication_failed,2026-05-31 16:14:09,failed
44,25605,614.38,net_banking,customer_abandoned,2026-02-19 14:29:09,failed
45,99050,2507.89,credit_card,insufficient_funds,2026-08-22 18:51:54,failed
46,30640,2845.08,debit_card,customer_abandoned,2026-06-23 04:35:34,failed
47,9484,1239.72,upi,customer_abandoned,2026-08-08 16:22:22,failed
