customer_id,customer_age,customer_since,total_purchases,total_spend,avg_order_value,purchase_frequency,subscription_status,ltv
1,36,2022-04-15,26,20419.62,785.37,5.97,active,53875.01
2,31,2021-03-19,21,21674.94,1032.14,3.87,active,39877.18
3,38,2025-10-23,16,40593.6,2537.1,19.22,inactive,215830.18
4,46,2022-01-13,21,79400.58,3780.98,4.56,inactive,105258.23
5,30,2021-08-14,16,41851.2,2615.7,3.18,none,63115.54
6,30,2026-04-21,25,38941.25,1557.65,73.64,active,389984.34
7,46,2023-04-02,18,14286.24,793.68,5.31,none,20803.86
8,39,2022-10-16,27,41661.0,1543.0,7.01,none,68540.8
9,28,2025-08-31,11,42100.96,3827.36,11.25,active,386563.36
10,37,2026-02-18,17,56532.65,3325.45,33.38,none,259417.64
11,28,2022-02-06,12,29986.68,2498.89,2.64,none,44449.91
12,28,2023-05-17,29,42793.56,1475.64,8.87,none,67766.1
13,34,2024-06-05,9,6351.57,705.73,4.06,none,13065.66
14,18,2023-03-17,10,23279.9,2327.99,2.91,active,55966.56
15,18,2025-05-29,9,8422.29,935.81,7.29,inactive,20297.47
16,27,2023-08-09,18,18623.7,1034.65,5.92,none,26222.14
17,23,2025-09-10,22,30443.6,1383.8,23.16,inactive,115224.98
18,35,2025-09-09,19,24907.1,1310.9,19.94,active,148896.07
19,24,2021-08-22,21,55006.77,2619.37,4.2,none,75661.51
20,19,2022-02-04,22,28450.18,1293.19,4.84,active,44269.67
21,45,2022-09-06,23,28770.7,1250.9,5.81,active,62957.88
22,30,2021-03-28,19,48434.23,2549.17,3.52,active,85883.9
23,33,2026-02-14,26,33061.08,1271.58,49.98,active,256530.34
24,19,2026-06-14,15,16353.9,1090.26,60.0,none,137673.93
25,27,2022-12-20,22,29908.78,1359.49,5.99,active,57734.49
26,33,2026-06-10,20,11415.4,570.77,80.0,active,215126.85
27,22,2022-03-08,16,18443.84,1152.74,3.59,inactive,24810.02
28,35,2024-11-07,17,67549.67,3973.51,9.49,active,238038.01
29,27,2023-10-05,27,17432.82,645.66,9.37,active,27298.75
30,29,2022-01-31,16,47498.4,2968.65,3.51,none,66861.46
31,27,2023-03-03,15,18631.8,1242.12,4.32,active,39148.67
32,49,2023-03-23,16,58885.12,3680.32,4.68,none,90626.15
33,32,2024-06-10,25,53166.5,2126.66,11.36,none,108968.13
34,22,2022-06-16,19,46861.41,2466.39,4.54,inactive,68214.37
35,39,2023-07-20,8,13066.48,1633.31,2.59,inactive,21254.32
36,21,2024-06-03,22,31255.18,1420.69,9.91,none,47413.43
37,34,2023-03-28,21,65072.91,3098.71,6.17,active,116947.61
38,18,2021-05-13,25,105388.0,4215.52,4.74,none,166748.8
39,20,2026-05-21,20,24733.0,1236.65,77.71,inactive,138245.37
40,34,2023-04-30,24,17977.92,749.08,7.24,active,32375.39
41,39,2024-05-09,17,38531.18,2266.54,7.43,inactive,88317.34
42,34,2021-09-14,12,5908.68,492.39,2.43,active,11246.92
43,31,2022-10-01,18,24754.32,1375.24,4.62,none,33626.11
44,29,2023-09-17,13,18584.67,1429.59,4.43,active,27354.36
45,19,2021-10-05,12,60814.8,5067.9,2.46,active,80728.69
46,26,2026-05-10,19,25626.82,1348.78,66.09,active,451230.5
47,28,2026-07-26,24,27807.12,1158.63,96.0,none,309396.12
48,42,2024-09-04,20,33881.2,1694.06,10.17,inactive,79313.66
49,35,2026-01-13,22,22880.22,1040.01,36.2,none,94035.98
50,18,2021-11-02,20,17543.8,877.19,4.16,none,26578.2
51,35,2023-05-27,16,41822.72,2613.92,4.94,inactive,71654.29
52,29,2025-01-31,19,24405.88,1284.52,12.2,none,55547.33
53,26,2023-11-05,24,147852.24,6160.51,8.58,active,298551.28
54,38,2025-10-12,16,35592.16,2224.51,18.55,inactive,156138.53
55,41,2023-06-04,25,43905.0,1756.2,7.76,active,85427.28
56,40,2024-09-27,17,52762.56,3103.68,8.93,none,97176.29
57,24,2025-08-30,23,54863.97,2385.39,23.47,active,180880.12
58,29,2024-02-12,16,65117.28,4069.83,6.33,inactive,119319.18
59,35,2023-11-06,19,51634.02,2717.58,6.8,none,91686.52
60,41,2021-11-06,17,56877.07,3345.71,3.55,active,94051.7
61,28,2026-02-27,14,16325.12,1166.08,28.89,none,72633.02
62,30,2025-02-18,20,71468.0,3573.4,13.26,active,344417.41
63,22,2023-05-29,21,60940.11,2901.91,6.49,inactive,100128.12
64,21,2026-02-09,9,22181.85,2464.65,16.86,none,126318.65
65,39,2023-12-27,19,27581.92,1451.68,7.15,inactive,43614.11
66,44,2021-10-24,21,61470.36,2927.16,4.35,none,71814.72
67,31,2022-08-21,16,18723.52,1170.22,3.99,none,25113.65
68,41,2024-12-07,13,11938.29,918.33,7.61,none,38349.68
69,35,2021-07-19,11,29813.74,2710.34,2.16,active,43230.53
70,26,2021-07-07,19,14542.98,765.42,3.71,active,19961.1
71,35,2026-03-24,18,36613.62,2034.09,43.25,none,205790.45
72,46,2025-01-19,16,24573.92,1535.87,10.06,none,41696.54
73,32,2024-02-29,20,37553.0,1877.65,8.06,active,114047.82
74,46,2025-11-17,16,34005.6,2125.35,20.95,active,140777.1
75,18,2025-03-26,19,54596.88,2873.52,13.48,active,364477.28
76,39,2022-12-13,13,47192.34,3630.18,3.52,none,66390.9
77,33,2023-04-05,18,27073.44,1504.08,5.32,none,47188.81
78,29,2026-04-18,24,29237.52,1218.23,69.02,inactive,253675.08
79,33,2021-10-16,16,43742.88,2733.93,3.3,inactive,58336.0
80,18,2022-01-02,20,51546.2,2577.31,4.31,none,83558.67
81,30,2026-06-17,17,32908.94,1935.82,68.0,inactive,261541.89
82,35,2023-11-22,20,18233.2,911.66,7.27,none,25182.41
83,45,2023-10-06,26,114514.92,4404.42,9.03,none,176027.34
84,27,2021-06-09,17,29562.32,1738.96,3.27,none,37288.24
85,25,2023-02-04,15,45572.1,3038.14,4.23,inactive,79000.25
86,27,2025-04-21,26,37705.72,1450.22,19.42,inactive,90752.26
87,40,2022-04-23,17,28482.99,1675.47,3.92,inactive,41340.55
88,35,2023-03-13,17,10914.17,642.01,4.93,active,19782.92
89,27,2021-02-02,22,7239.98,329.09,3.96,inactive,8630.2
90,37,2026-07-05,11,16170.77,1470.07,44.0,inactive,96983.34
91,33,2025-06-09,19,27232.13,1433.27,15.77,none,49727.6
92,41,2024-02-19,17,80069.15,4709.95,6.78,none,119697.67
93,26,2024-05-16,20,34689.0,1734.45,8.81,active,121284.63
94,29,2023-08-10,23,81552.25,3545.75,7.58,inactive,136995.79
95,28,2026-07-05,16,31760.8,1985.05,64.0,active,563957.35
96,19,2023-08-09,18,17615.52,978.64,5.92,none,28887.52
97,35,2024-09-06,19,71042.9,3739.1,9.69,active,144565.9
98,34,2025-06-25,18,21330.9,1185.05,15.51,active,88932.59
99,32,2025-11-13,23,22300.8,969.6,29.68,none,80505.76
100,30,2022-10-12,14,17252.62,1232.33,3.62,none,31926.69
101,19,2022-05-18,14,18354.98,1311.07,3.28,none,28628.84
102,28,2024-10-30,20,15634.6,781.73,11.03,inactive,52199.12
103,29,2025-07-13,27,112744.17,4175.71,24.29,none,440999.22
104,25,2026-02-15,19,37081.54,1951.66,36.72,active,265497.6
105,31,2024-10-15,18,29127.78,1618.21,9.71,none,70365.81
106,36,2026-02-08,23,42826.23,1862.01,42.86,none,146552.89
107,49,2023-05-11,20,34383.2,1719.16,6.09,inactive,54223.21
108,34,2021-12-02,19,14073.68,740.72,4.02,none,18382.42
109,34,2023-09-01,21,43152.27,2054.87,7.06,none,82196.13
110,31,2024-08-10,19,8745.13,460.27,9.34,inactive,20323.73
111,18,2022-11-04,19,27342.14,1439.06,5.0,inactive,41028.96
112,32,2025-05-16,11,8819.36,801.76,8.66,none,22869.09
113,33,2022-12-30,20,22204.6,1110.23,5.48,active,41036.72
114,54,2022-12-28,13,7397.78,569.06,3.56,none,11190.9
115,30,2026-06-14,16,33616.8,2101.05,64.0,none,297509.07
116,35,2025-05-02,19,41736.35,2196.65,14.52,none,128435.82
117,32,2025-12-04,16,37111.04,2319.44,22.31,active,249206.0
118,21,2025-10-15,22,42755.02,1943.41,25.75,active,216515.98
119,42,2023-09-05,20,26255.6,1312.78,6.75,inactive,44290.01
120,39,2021-12-07,20,9545.2,477.26,4.25,active,17558.34
121,39,2026-07-28,15,17296.8,1153.12,60.0,inactive,195741.51
122,24,2022-01-31,13,10848.76,834.52,2.85,active,21146.5
123,45,2026-03-10,17,35142.4,2067.2,37.41,active,399715.86
124,19,2023-09-01,17,20380.96,1198.88,5.71,none,40189.47
125,37,2026-05-22,17,39661.85,2333.05,66.77,inactive,566747.75
126,52,2025-04-24,20,39439.8,1971.99,15.03,inactive,81238.7
127,23,2024-09-20,18,39383.64,2187.98,9.37,none,73015.29
128,27,2023-07-06,19,47546.93,2502.47,6.07,active,103689.24
129,33,2023-09-20,13,42748.42,3288.34,4.45,active,103007.64
130,27,2024-04-10,22,24313.3,1105.15,9.29,none,54097.38
131,18,2026-05-22,17,78585.22,4622.66,66.77,none,704895.41
132,33,2026-06-15,13,16369.21,1259.17,52.0,none,191835.19
133,22,2025-04-16,27,131853.15,4883.45,19.96,none,271283.64
134,36,2021-10-19,14,19255.74,1375.41,2.89,none,22982.41
135,24,2025-06-16,21,28161.0,1341.0,17.71,inactive,59771.86
136,46,2024-08-06,19,54405.74,2863.46,9.29,inactive,121229.61
137,25,2022-01-05,18,26860.5,1492.25,3.89,active,40529.53
138,29,2022-12-29,24,31434.24,1309.76,6.58,none,53391.91
139,39,2024-10-11,21,22712.97,1081.57,11.26,inactive,58380.83
140,21,2026-07-01,12,20924.88,1743.74,48.0,none,227976.31
141,34,2021-08-29,17,16512.27,971.31,3.41,none,22574.69
142,44,2025-05-15,15,16578.75,1105.25,11.78,active,53830.76
143,18,2021-05-30,22,40257.36,1829.88,4.2,none,53606.34
144,34,2022-02-17,22,36489.86,1658.63,4.88,inactive,59533.55
145,34,2024-03-16,22,61334.9,2787.95,9.03,none,132058.5
146,39,2024-05-22,13,36002.07,2769.39,5.77,active,80817.67
147,21,2025-05-08,23,39045.95,1697.65,17.8,none,80287.62
148,20,2024-08-08,21,23386.23,1113.63,10.3,active,115149.34
149,37,2023-02-07,24,64227.6,2676.15,6.78,none,96419.61
150,35,2025-10-15,17,26236.78,1543.34,19.9,none,99915.94
151,34,2021-03-21,20,69417.0,3470.85,3.69,none,90538.79
