transaction_id,action,recovered,recovered_amount,recovery_time,action_cost
29154,whatsapp,0,0.0,,18.0
23472,payment_link,1,2224.75,150.9,12.0
22794,payment_link,1,672.02,37.7,12.0
42872,payment_link,1,1295.73,98.0,12.0
588,retry,0,0.0,,8.0
60964,payment_link,1,1243.07,96.3,12.0
33210,human_escalation,0,0.0,,250.0
1385,retry,0,0.0,,8.0
5195,whatsapp,0,0.0,,18.0
111,human_escalation,1,4360.07,59.6,250.0
34529,retry,1,7807.39,125.0,8.0
71621,retry,1,4307.95,64.1,8.0
53829,retry,1,2436.91,121.4,8.0
2576,email,0,0.0,,5.0
95580,retry,0,0.0,,8.0
32905,retry,1,3267.63,76.8,8.0
78500,whatsapp,0,0.0,,18.0
72821,email,1,1594.02,208.3,5.0
7501,payment_link,1,1802.96,105.6,12.0
54115,retry,1,1463.6,51.6,8.0
14971,payment_link,0,0.0,,12.0
10463,email,1,1037.69,93.8,5.0
51133,retry,1,970.12,177.5,8.0
95525,retry,1,544.53,129.9,8.0
91750,human_escalation,1,8225.66,203.2,250.0
84438,email,1,1311.25,156.1,5.0
82958,whatsapp,1,1025.51,157.8,18.0
41317,voice_call,1,1323.96,137.5,90.0
14314,voice_call,1,6845.11,690.6,90.0
27045,whatsapp,1,6315.72,318.4,18.0
36119,retry,1,1902.48,257.3,8.0
80897,email,1,20863.48,127.7,5.0
31905,whatsapp,1,1838.91,247.0,18.0
28169,retry,1,2049.28,70.1,8.0
82343,retry,1,1079.28,77.9,8.0
16209,whatsapp,0,0.0,,18.0
26536,payment_link,0,0.0,,12.0
10595,voice_call,0,0.0,,90.0
90804,retry,1,1157.81,106.6,8.0
75234,whatsapp,0,0.0,,18.0
21937,whatsapp,1,4471.08,125.7,18.0
95400,retry,0,0.0,,8.0
18337,retry,1,2094.14,109.9,8.0
47689,retry,1,2028.58,566.0,8.0
40640,payment_link,1,1315.82,99.8,12.0
1300,payment_link,1,1126.45,40.0,12.0
64130,whatsapp,1,2618.5,190.1,18.0
5948,retry,1,1712.88,58.9,8.0
95315,human_escalation,1,1698.29,21.3,250.0
7685,payment_link,1,2600.57,129.8,12.0
43198,retry,0,0.0,,8.0
55006,retry,0,0.0,,8.0
29409,retry,1,10498.11,141.5,8.0
88632,whatsapp,0,0.0,,18.0
96391,voice_call,1,2077.24,127.3,90.0
41003,retry,1,2861.31,57.9,8.0
78227,whatsapp,1,1371.99,35.7,18.0
5236,whatsapp,0,0.0,,18.0
2528,retry,1,1485.93,565.0,8.0
29641,whatsapp,1,1402.22,211.3,18.0
1722,retry,1,780.33,261.5,8.0
68351,voice_call,0,0.0,,90.0
4046,retry,0,0.0,,8.0
59057,voice_call,1,1324.92,50.7,90.0
68062,payment_link,1,968.53,121.3,12.0
49834,payment_link,0,0.0,,12.0
45025,email,1,6811.92,293.2,5.0
91437,payment_link,0,0.0,,12.0
75659,retry,1,3081.17,73.8,8.0
83788,payment_link,1,4622.41,184.8,12.0
2371,payment_link,1,1346.2,79.1,12.0
95375,retry,1,422.03,86.2,8.0
85200,human_escalation,1,5919.06,46.8,250.0
45466,retry,0,0.0,,8.0
77984,payment_link,0,0.0,,12.0
2621,retry,1,2424.94,111.8,8.0
5702,whatsapp,1,2176.65,99.9,18.0
55519,retry,1,538.89,50.0,8.0
21878,voice_call,1,1272.69,51.1,90.0
22954,retry,1,1834.54,106.9,8.0
58707,human_escalation,1,3477.61,277.8,250.0
78425,retry,0,0.0,,8.0
97292,email,1,1779.44,470.3,5.0
15636,whatsapp,0,0.0,,18.0
38328,email,0,0.0,,5.0
13745,human_escalation,1,2697.51,83.1,250.0
38005,retry,1,4987.66,625.5,8.0
11751,retry,0,0.0,,8.0
18904,payment_link,1,1397.77,96.5,12.0
80343,payment_link,1,954.08,340.8,12.0
90902,human_escalation,1,965.67,130.9,250.0
73862,retry,0,0.0,,8.0
63757,voice_call,1,3564.18,249.1,90.0
24742,retry,0,0.0,,8.0
84911,human_escalation,1,1335.88,96.1,250.0
17628,payment_link,1,1966.12,309.5,12.0
41541,whatsapp,1,1357.01,69.9,18.0
75823,retry,1,2924.68,34.5,8.0
99081,payment_link,1,1013.17,348.5,12.0
73106,retry,1,2398.15,272.4,8.0
57388,human_escalation,1,1156.4,390.0,250.0
30413,retry,0,0.0,,8.0
19502,retry,0,0.0,,8.0
73594,payment_link,0,0.0,,12.0
60607,payment_link,1,1295.48,60.1,12.0
90655,whatsapp,1,915.79,113.6,18.0
39948,payment_link,1,3759.39,129.6,12.0
94839,voice_call,1,2577.49,98.6,90.0
39643,retry,1,1187.98,142.8,8.0
3942,payment_link,1,2160.7,125.3,12.0
30529,email,0,0.0,,5.0
63430,payment_link,1,1280.05,481.4,12.0
98124,whatsapp,1,737.64,134.4,18.0
89233,whatsapp,0,0.0,,18.0
33877,retry,0,0.0,,8.0
68633,voice_call,1,1412.36,95.7,90.0
22077,retry,0,0.0,,8.0
95048,payment_link,1,2778.14,122.6,12.0
28420,payment_link,1,3327.31,201.9,12.0
22988,whatsapp,1,515.17,67.4,18.0
21033,retry,1,812.7,114.7,8.0
8120,email,1,1475.95,117.9,5.0
78365,email,1,1570.3,94.1,5.0
39480,human_escalation,1,1597.08,336.9,250.0
97441,whatsapp,0,0.0,,18.0
90267,email,0,0.0,,5.0
41972,retry,0,0.0,,8.0
41887,voice_call,1,824.55,111.0,90.0
9897,payment_link,1,1342.32,187.1,12.0
24154,email,1,340.54,135.0,5.0
90205,retry,0,0.0,,8.0
36840,retry,1,2986.79,239.9,8.0
42370,retry,0,0.0,,8.0
8357,whatsapp,1,377.44,239.9,18.0
44226,payment_link,1,1147.85,155.9,12.0
1929,whatsapp,0,0.0,,18.0
53244,retry,1,1380.46,82.5,8.0
88677,payment_link,1,947.81,279.3,12.0
76711,payment_link,0,0.0,,12.0
26775,email,1,1085.78,177.0,5.0
14660,email,1,2755.31,59.4,5.0
67826,retry,0,0.0,,8.0
34214,email,0,0.0,,5.0
21465,whatsapp,1,2139.69,127.6,18.0
56368,retry,0,0.0,,8.0
60026,email,1,1625.57,34.4,5.0
71059,retry,0,0.0,,8.0
27580,retry,1,861.66,75.0,8.0
98441,payment_link,1,1091.95,237.2,12.0
75193,whatsapp,1,650.37,52.1,18.0
71217,payment_link,1,3146.27,89.2,12.0
30778,email,1,3601.98,481.1,5.0
41777,whatsapp,1,2615.7,283.2,18.0
85757,email,0,0.0,,5.0
65734,voice_call,1,5255.15,138.4,90.0
30212,voice_call,1,2841.86,121.8,90.0
30534,whatsapp,1,4564.32,574.6,18.0
96447,retry,1,2118.81,106.5,8.0
16676,voice_call,1,2782.83,68.2,90.0
49414,retry,0,0.0,,8.0
8851,email,0,0.0,,5.0
74831,human_escalation,1,1018.12,120.3,250.0
16396,payment_link,0,0.0,,12.0
7549,human_escalation,1,1965.03,68.0,250.0
13214,payment_link,1,372.17,56.0,12.0
44619,whatsapp,1,4383.45,43.0,18.0
53609,email,0,0.0,,5.0
51092,retry,1,6682.73,638.6,8.0
46550,retry,1,1933.73,89.7,8.0
48018,email,0,0.0,,5.0
23634,voice_call,1,1237.32,202.4,90.0
83179,voice_call,0,0.0,,90.0
80197,whatsapp,1,2762.63,98.1,18.0
1834,payment_link,0,0.0,,12.0
55475,retry,0,0.0,,8.0
23422,retry,1,1336.71,213.6,8.0
92181,payment_link,0,0.0,,12.0
52351,payment_link,1,1532.61,125.0,12.0
33706,email,1,1730.79,79.5,5.0
70676,retry,1,3504.46,173.2,8.0
62445,retry,1,1404.36,295.1,8.0
94038,payment_link,0,0.0,,12.0
17978,whatsapp,0,0.0,,18.0
71621,email,1,4307.95,261.4,5.0
60225,payment_link,1,719.73,92.0,12.0
48158,whatsapp,1,1796.73,108.5,18.0
220,email,1,1066.74,254.9,5.0
62764,voice_call,0,0.0,,90.0
56226,human_escalation,1,5237.29,38.6,250.0
2176,payment_link,1,2166.76,78.5,12.0
8791,retry,1,1412.7,13.1,8.0
40663,retry,1,776.24,119.3,8.0
50922,whatsapp,1,3169.53,837.7,18.0
72324,retry,0,0.0,,8.0
39609,payment_link,0,0.0,,12.0
26519,retry,1,7494.31,29.8,8.0
32218,retry,1,486.79,447.1,8.0
1701,retry,1,2062.33,123.0,8.0
14173,payment_link,1,5101.24,79.4,12.0
19795,retry,0,0.0,,8.0
27683,retry,0,0.0,,8.0
69295,payment_link,0,0.0,,12.0
22669,email,0,0.0,,5.0
